departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
ANTIOQUIA,5,TURBO,"5,837",Rural,Vereda Arenera,"1,996",2,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,8.09915965147,-76.7392323702,Sin informacion,"(8.09915965147, -76.7392323702)",Fuerza pública
ANTIOQUIA,5,CAREPA,"5,147",Rural,Sitio Alto Carepa,"2,003",10,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,7.754994,-76.654277,Sin informacion,"(7.754994, -76.654277)",Fuerza pública
META,50,LA MACARENA,"50,350",Rural,Sin información,"2,006",6,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.182506,-73.784832,Sin informacion,"(2.182506, -73.784832)",Fuerza pública
META,50,LA MACARENA,"50,350",Rural,Sin información,"2,006",6,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.182506,-73.784832,Sin informacion,"(2.182506, -73.784832)",Fuerza pública
META,50,VISTAHERMOSA,"50,711",Rural,Sin información,"2,006",1,Mayor de 18 años,No,Civil,Hombre,Herido,3.125088,-73.752373,Sin informacion,"(3.125088, -73.752373)",Cuidado de animales
META,50,VISTAHERMOSA,"50,711",Rural,Vereda Agua Linda,"2,005",4,Mayor de 18 años,No,Civil,Hombre,Herido,3.125088,-73.752373,Sin informacion,"(3.125088, -73.752373)",Sin Información
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
